Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
9684 Rubicon Dr,5 Beds,4 Baths,"2,677 sqft",2018,Garage,No,"$494,000",Colorado
5778 Badenoch Ter,3 Beds,3 Baths,"2,190 sqft",2010,2 Car Garage,No,"$395,000",Colorado
11 Pine Rd,5 Beds,5 Baths,"6,798 sqft ",1971,2 Car Garage,No,"$1,950,000",Colorado
2407 Carmel Dr,3 Beds,2 Baths,"1,301 sqft",1966,1 Car Garage,No,"$345,000",Colorado
1875 Montura Vw #101,2 Beds,2 Baths,"1,111 sqft",2005,1 Parking Spaces,,"$338,300",Colorado
3121 N Arcadia St,2 Beds,1 Bath,660 sqft,1955,Garage,No,"$269,900",Colorado
1053 Sir Barton Cir,5 Beds,4 Baths,"3,242 sqft",2020,3 Car Garage,No,"$725,000",Colorado
735 Hailey Glenn Vw,2 Beds,3 Baths,"1,508 sqft",2008,1 Car Garage,,"$299,900",Colorado
10027 Vervain Vw,2 Beds,3 Baths,"1,484 sqft",2019,Garage,,"$439,900",Colorado
826 San Antonio Pl,3 Beds,2 Baths,"1,148 sqft",1973,2 Car Garage,No,"$310,000",Colorado
9018 Golden Buffs Dr,4 Beds,3 Baths,"3,394 sqft",2021,3 Car Garage,No,"$559,300",Colorado
2712 Scotchbroom Point,2 Beds,2 Baths,"1,178 sqft",2005,Garage,,"$248,500",Colorado
7150 Nettlewood Pl,4 Beds,3 Baths,"2,109 sqft",1991,2 Car Garage,No,"$399,900",Colorado
5055 Wezel Cir,4 Beds,2 Baths,"1,791 sqft",1979,1 Car Garage,No,"$355,000",Colorado
8818 Bittercreek Dr,4 Beds,3 Baths,"3,311 sqft",2021,4 Car Garage,No,"$555,300",Colorado
1795 Big Horn Trl,5 Beds,3 Baths,"1,596 sqft",1984,Garage,No,"$484,900",Colorado
3120 Bayside Grv,4 Beds,3 Baths,"2,203 sqft",2000,2 Car Garage,No,"$419,900",Colorado
9576 Timberlake Loop,4 Beds,3 Baths,"1,932 sqft",2019,Garage,No,"$454,900",Colorado
5255 Champagne Dr,5 Beds,4 Baths,"3,534 sqft ",1987,2 Car Garage,No,"$630,000",Colorado
