Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
702 Ash St #500,1 Bed,1 Bath,628 sqft,1929,1 Car Garage,Pool,"$324,900",San Diego
4892-94 Coconino Way,,,,1954,Garage,Pool,"$899,900",San Diego
3402 Gage Pl,6 Beds,7 Baths,"10,406 sqft ",1988,3 Car Garage,Yes,"$11,800,000",San Diego
1964 Missouri St #4,2 Beds,1 Bath,887 sqft,1975,2 Parking Spaces,,"$625,000",San Diego
17510 Frondoso Dr,3 Beds,2 Baths,"2,356 sqft",1971,Garage,No,"$1,085,000",San Diego
7825 Shorewood Dr,3 Beds,2 Baths,964 sqft,1962,2 Car Garage,No,"$585,000",San Diego
10263 Antrim Way,2 Beds,2 Baths,"1,008 sqft",1973,Garage,No,"$769,000",San Diego
7808 Prairie Mound Way,3 Beds,2 Baths,"1,475 sqft",1964,Open Parking,No,"$649,900",San Diego
3244 Caminito Ameca,3 Beds,3 Baths,"1,416 sqft",1974,2 Car Garage,Pool,"$925,000",San Diego
12658 Carmel Country Rd #85,3 Beds,3 Baths,"1,535 sqft",1999,2 Car Garage,No,"$924,990",San Diego
2055 Front St #9,1 Bed,1 Bath,636 sqft,1975,Garage,No,"$359,000",San Diego
4210 Governor Dr,5 Beds,3 Baths,"2,324 sqft",1971,2 Car Garage,No,"$1,299,000",San Diego
4730 Noyes St #407,1 Bed,1 Bath,623 sqft,1970,Garage,Pool,"$439,000",San Diego
6308 Shaules Ave,2 Beds,3 Baths,828 sqft,1935,Garage,No,"$499,000",San Diego
4855 Bella Pacific Row #226,2 Beds,2 Baths,"1,094 sqft",1987,Open Parking,No,"$599,000",San Diego
4311 College Ave,2 Beds,2 Baths,810 sqft,1950,2 Parking Spaces,No,"$625,000",San Diego
4205 Ohio St #206,2 Beds,2 Baths,720 sqft,1990,Garage,Pool,"$425,000",San Diego
3163 Easy St,3 Beds,1 Bath,"1,005 sqft",1949,1 Car Garage,No,"$599,000",San Diego
6202 Friars Rd #206,Studio,1 Bath,432 sqft,1972,1 Parking Spaces,Pool,"$285,000",San Diego
16912 Dominican Dr,3 Beds,2 Baths,"1,395 sqft",1964,2 Car Garage,No,"$785,000",San Diego
17361 Regalo Ln,4 Beds,3 Baths,"2,337 sqft",1973,2 Car Garage,Yes,"$1,359,888",San Diego
8093 Caminito Mallorca,3 Beds,3 Baths,"1,698 sqft",1976,2 Car Garage,No,"$805,000",San Diego
4185 Mount Alifan Pl #J,2 Beds,2 Baths,"1,140 sqft ",1973,Garage,Pool,"$419,000",San Diego
3510 Dove Ct,4 Beds,4 Baths,"3,984 sqft ",1936,Garage,No,"$3,000,000",San Diego
3939 Illinois St #2C,1 Bed,2 Baths,819 sqft ,1976,1 Parking Spaces,Pool,"$489,000",San Diego
402 63rd St #8,2 Beds,2 Baths,858 sqft ,2013,No Info,,"$110,500",San Diego
1333 Gregory St,3 Beds,2 Baths,"1,419 sqft",1985,1 Car Garage,No,"$899,000",San Diego
4730 Noyes St #215,1 Bed,1 Bath,623 sqft,1970,Garage,Pool,"$449,000",San Diego
10026 Maya Linda Rd #6202,1 Bed,1 Bath,696 sqft ,1988,1 Carport Spaces,Pool,"$350,000",San Diego
3855 Pringle St,3 Beds,3 Baths,"1,866 sqft",1916,1 Car Garage,No,"$1,589,000",San Diego
3037 Ingelow St #6,2 Beds,3 Baths,"1,049 sqft",1988,Garage,Pool,"$675,000",San Diego
7850 Roseland Dr,4 Beds,2 Baths,"2,312 sqft",1952,2 Open Spaces,No,"$2,195,000",San Diego
5333 E Falls View Dr,3 Beds,2 Baths,"1,328 sqft",1952,2 Car Garage,No,"$879,900",San Diego
4510 Jutland Dr,3 Beds,3 Baths,"1,440 sqft",1965,2 Car Garage,No,"$1,250,000",San Diego
7219 Golfcrest Dr,3 Beds,2 Baths,"1,330 sqft",1970,2 Car Garage,No,"$899,000",San Diego
16076 Caminito Tomas,3 Beds,3 Baths,"1,554 sqft ",1988,2 Car Garage,Pool,"$779,900",San Diego
6401 Mount Ada Rd #135,1 Bed,1 Bath,584 sqft ,1972,Garage,Pool,"$315,000",San Diego
4440 Point Loma Ave,4 Beds,2 Baths,"1,740 sqft",1925,Garage,No,"$1,450,000",San Diego
1080 Park Blvd #301,2 Beds,2 Baths,"1,328 sqft ",2007,Garage,,"$695,000",San Diego
1979 Avenida Del Mexico #128,1 Bed,1 Bath,655 sqft ,1987,2 Parking Spaces,Pool,"$295,000",San Diego
3890 Nobel Dr #2003,2 Beds,2 Baths,"1,793 sqft",1991,Garage,Pool,"$1,098,000",San Diego
9419 Fairgrove Ln #102,2 Beds,2 Baths,927 sqft,1986,Carport,No,"$550,000",San Diego
5339 Chollas Pkwy,3 Beds,2 Baths,"1,200 sqft",1961,2 Car Garage,No,"$614,900",San Diego
4659 Florida St,3 Beds,1 Bath,"1,030 sqft",1913,Garage,No,"$549,000",San Diego
6666 Beadnell Way #26,2 Beds,2 Baths,923 sqft ,1994,1 Parking Spaces,Pool,"$409,000",San Diego
5986 Highplace Dr,4 Beds,3 Baths,"2,273 sqft",1973,2 Car Garage,No,"$1,075,000",San Diego
3738 33rd St #6,2 Beds,2 Baths,729 sqft,1983,Garage,,"$449,900",San Diego
708 Quail St,3 Beds,1 Bath,"1,004 sqft",1951,Open Parking,No,"$610,000",San Diego
15347 Maturin Dr #102,2 Beds,2 Baths,950 sqft ,1995,1 Parking Spaces,Pool,"$568,900",San Diego
4080 Front St #210,2 Beds,2 Baths,"1,075 sqft ",2001,2 Parking Spaces,,"$659,900",San Diego
1927 Chicago St #C,2 Beds,2 Baths,"1,019 sqft",1984,2 Car Garage,,"$649,000",San Diego
10319 Azuaga St #301,2 Beds,2 Baths,881 sqft ,1990,1 Carport Spaces,Pool,"$527,900",San Diego
5352 Westknoll Dr,4 Beds,3 Baths,"2,422 sqft",1972,2 Car Garage,No,"$1,975,000",San Diego
5539 Santa Alicia,3 Beds,4 Baths,"1,829 sqft ",2019,2 Car Garage,Pool,"$599,999",San Diego
3950 Ohio St #516,2 Beds,1 Bath,921 sqft,2006,Garage,,"$539,900",San Diego
7491 Salizar St,3 Beds,2 Baths,"1,232 sqft",1959,2 Car Garage,No,"$850,000",San Diego
2003 Bayview Heights Dr #172,2 Beds,2 Baths,"1,300 sqft",1971,2 Carport Spaces,Pool,"$145,000",San Diego
6821 Alvarado Rd #1,2 Beds,2 Baths,"1,120 sqft ",1970,No Info,Pool,"$413,300",San Diego
1624 Torrey Pines Rd,5 Beds,6 Baths,"3,500 sqft",2021,2 Car Garage,No,"$5,950,000",San Diego
3745 Riviera Dr #6,2 Beds,2 Baths,"1,090 sqft",1974,2 Car Garage,,"$674,900",San Diego
4259 Coronado Ave,4 Beds,3 Baths,"1,916 sqft",1948,1 Car Garage,No,"$1,499,000",San Diego
16188 Paseo Del Sur,4 Beds,3 Baths,"1,867 sqft",2014,2 Car Garage,Pool,"$949,900",San Diego
10842 Whitehall Rd,3 Beds,2 Baths,"1,177 sqft",1972,Garage,No,"$796,000",San Diego
17131 W Bernardo Dr #205,2 Beds,1 Bath,855 sqft ,1994,Carport,No,"$400,000",San Diego
2742 Murray Ridge Rd,3 Beds,2 Baths,"1,128 sqft",1957,Garage,No,"$849,900",San Diego
4088 Coleman Ave,4 Beds,2 Baths,"1,493 sqft",1969,2 Car Garage,No,"$633,000",San Diego
6274 Chadwick Ave,3 Beds,2 Baths,988 sqft,1959,2 Car Garage,No,"$610,000",San Diego
7434 Herschel Ave #5,1 Bed,1 Bath,795 sqft,1979,Garage,,"$649,000",San Diego
8846 Pagoda Way,3 Beds,2 Baths,"1,409 sqft",1973,2 Car Garage,No,"$825,000",San Diego
4351 Monaco St,4 Beds,5 Baths,"5,155 sqft",2010,2 Car Garage,Yes,"$4,200,000",San Diego
7767 Goldcrest Ln,4 Beds,2 Baths,"1,392 sqft",1968,1 Car Garage,No,"$639,000",San Diego
