Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
643 SW 11th St #11W,1 Bed,1 Bath,570 sqft,1949,Open Parking,,"$175,000",Miami
2140 S Miami Ave,5 Beds,6 Baths,"4,879 sqft",2018,Garage,No,"$4,300,000",Miami
3769 Stewart Ave,6 Beds,7 Baths,"7,409 sqft ",1925,Garage,No,"$11,900,000",Miami
2020 N Bayshore Dr #2801,2 Beds,3 Baths,"1,588 sqft",2010,Garage,Pool,"$1,299,000",Miami
5505 NW 7th St #W216,1 Bed,1 Bath,662 sqft,1972,No Info,Pool,"$160,000",Miami
520 NE 29th St #1201,2 Beds,2 Baths,"1,065 sqft",2007,1 Car Garage,,"$389,000",Miami
900 Brickell Key Blvd #3401,6 Beds,8 Baths,"4,954 sqft",2008,4 Car Garage,Pool,"$6,999,999",Miami
244 Biscayne Blvd #1408,2 Beds,2 Baths,"1,006 sqft",2008,Garage,Pool,"$375,000",Miami
1871 NW South River Dr #1207,2 Beds,2 Baths,887 sqft,2010,Garage,Pool,"$334,790",Miami
690 SW 1st Ct #2920,2 Beds,2 Baths,"1,255 sqft",2006,1 Car Garage,Pool,"$438,000",Miami
1861 NW South River Dr #908,2 Beds,2 Baths,975 sqft,2010,Garage,Pool,"$320,000",Miami
333 NE 24th St #1103,1 Bed,1 Bath,"1,077 sqft",2008,Garage,Pool,"$290,000",Miami
600 NE 36th St #1503,2 Beds,2 Baths,"1,218 sqft",1973,2 Car Garage,Pool,"$449,000",Miami
1880 NW 27th St,3 Beds,3 Baths,"1,116 sqft",1921,Open Parking,No,"$400,000",Miami
6900 W Flagler St #2B,2 Beds,2 Baths,840 sqft,1973,No Info,Pool,"$179,500",Miami
630 SW 64th Ct,3 Beds,2 Baths,"1,323 sqft",1950,Open Parking,No,"$515,000",Miami
3 Grove Isle Dr #C606,2 Beds,2 Baths,"1,642 sqft",1981,2 Car Garage,Pool,"$689,000",Miami
1541 Brickell Ave #A4000,6 Beds,5 Baths,"5,801 sqft",1981,Garage,,"$2,499,000",Miami
1300 S Miami Ave #4201,2 Beds,2 Baths,"1,279 sqft",2016,Garage,Pool,"$880,000",Miami
851 NE 1st Ave #5202,Studio,,"3,292 sqft",2019,No Info,,"$3,900,000",Miami
1786 NW 53rd St,,,936 sqft,1957,2 Parking Spaces,,"$210,000",Miami
4012 NW 15th Ave,2 Beds,2 Baths,"1,017 sqft",1924,Open Parking,No,"$335,000",Miami
4241 Palm Ln,6 Beds,6 Baths,"6,334 sqft ",2011,Garage,No,"$15,500,000",Miami
590 NE 52nd Ter,3 Beds,2 Baths,"2,506 sqft",1954,2 Car Garage,No,"$2,150,000",Miami
