Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
5240 D St,3 Beds,2 Baths,"1,480 sqft",1940,Open Parking,Pool,"$135,000",Philadelphia
41 E Tulpehocken St,4 Beds,3 Baths,"1,624 sqft",1900,Open Parking,No,"$275,000",Philadelphia
1022 S 2nd St #4,3 Beds,2 Baths,"1,894 sqft",2018,Open Parking,Pool,"$550,000",Philadelphia
249 N Simpson St,3 Beds,2 Baths,"1,640 sqft",1925,Open Parking,Pool,"$197,500",Philadelphia
750 N 23rd St,2 Beds,3 Baths,"1,350 sqft",1920,Open Parking,Pool,"$549,000",Philadelphia
124 Gladstone St,3 Beds,2 Baths,912 sqft,1920,Open Parking,Pool,"$279,900",Philadelphia
424 Dudley St,2 Beds,2 Baths,"1,260 sqft",1920,Open Parking,Pool,"$330,000",Philadelphia
2445 Kimball St,3 Beds,1 Bath,"1,206 sqft",1925,Open Parking,No,"$399,000",Philadelphia
148 E Roumfort Rd,3 Beds,1 Bath,"1,500 sqft",1923,1 Car Garage,Pool,"$335,000",Philadelphia
3857 Folsom St,3 Beds,2 Baths,"1,048 sqft",1925,Open Parking,Pool,"$180,000",Philadelphia
4954 Wynnefield Ave,8 Beds,,"1,800 sqft",1925,1 Car Garage,Pool,"$175,000",Philadelphia
2010 W Girard Ave,4 Beds,3 Baths,"2,808 sqft",1915,Open Parking,No,"$695,000",Philadelphia
8011 Germantown Ave,1 Bed,,"2,219 sqft",1930,Open Parking,Pool,"$529,900",Philadelphia
230 Green Ln,2 Beds,3 Baths,"1,700 sqft",2013,1 Car Garage,No,"$499,999",Philadelphia
1834 Ingersoll St,3 Beds,3 Baths,"1,700 sqft",1920,1 Open Spaces,Pool,"$389,000",Philadelphia
1606 Federal St,3 Beds,2 Baths,"1,595 sqft",2005,1 Car Garage,Pool,"$489,900",Philadelphia
2134 S Mole St,2 Beds,1 Bath,889 sqft,1923,Open Parking,Pool,"$295,000",Philadelphia
2243 S Bancroft St,3 Beds,3 Baths,"1,080 sqft",1920,Open Parking,Pool,"$199,000",Philadelphia
808 Levick St,3 Beds,2 Baths,"1,344 sqft",1954,Garage,No,"$259,000",Philadelphia
1641 S Hicks St,3 Beds,2 Baths,"1,103 sqft",1925,Open Parking,Pool,"$235,000",Philadelphia
1256 S Ringgold St,3 Beds,2 Baths,"1,161 sqft",1923,Open Parking,Pool,"$325,000",Philadelphia
506 Captains Way,3 Beds,3 Baths,"2,204 sqft",2010,1 Car Garage,Pool,"$739,000",Philadelphia
4443 Edgemont St,3 Beds,1 Bath,"1,275 sqft",1925,Open Parking,No,"$169,900",Philadelphia
4131 Terrace St,3 Beds,1 Bath,"1,408 sqft",1900,Open Parking,Pool,"$270,000",Philadelphia
7410 Lawndale Ave,4 Beds,1 Bath,"1,785 sqft",1956,3 Open Spaces,No,"$279,900",Philadelphia
1010 Arch St #801,1 Bed,1 Bath,660 sqft,1900,None,Pool,"$245,000",Philadelphia
1518 Rodman St,3 Beds,,"2,096 sqft",1915,1 Car Garage,Pool,"$1,100,000",Philadelphia
