Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
338 Main St #5H,1 Bed,1 Bath,854 sqft ,2016,Attached Garage,Pool,"$999,000",San Francisco
2640 Baker St,4 Beds,5 Baths,"5,385 sqft",1926,Attached Garage,No,"$9,500,000",San Francisco
3510-3514 Divisadero St,2 Beds,3 Baths,"3,613 sqft",1925,Garage,,"$3,325,000",San Francisco
2660 Scott St,7 Beds,7 Baths,"9,190 sqft",1908,Garage,No,"$18,500,000",San Francisco
21 Westwood Dr,4 Beds,4 Baths,"2,648 sqft",1920,Garage,No,"$1,925,000",San Francisco
4483 23rd St #4,2 Beds,1 Bath,924 sqft,1968,Attached Garage,,"$1,049,000",San Francisco
1277 Union St,3 Beds,2 Baths,"1,655 sqft",1911,1 Parking Spaces,,"$1,750,000",San Francisco
201 Berkeley Way,4 Beds,3 Baths,"2,037 sqft",1975,Garage,No,"$2,495,000",San Francisco
3166 26th St #2,2 Beds,2 Baths,"1,550 sqft",2001,Attached Garage,,"$1,049,000",San Francisco
2667-2669 21st St,4 Beds,,"2,720 sqft",1924,3 Parking Spaces,,"$1,800,000",San Francisco
478 10th Ave,3 Beds,2 Baths,"1,765 sqft",1915,Garage,,"$1,575,000",San Francisco
2695 46th Ave,2 Beds,,"1,400 sqft",1955,No Info,,"$1,595,000",San Francisco
1124 Stanyan St,4 Beds,4 Baths,"2,925 sqft",1904,Garage,No,"$3,995,000",San Francisco
236 Shipley St #201,1 Bed,1 Bath,469 sqft,2016,No Info,,"$353,675",San Francisco
678 6th Ave,2 Beds,2 Baths,"1,200 sqft",1908,Garage,,"$1,195,000",San Francisco
889 Rolph St,2 Beds,1 Bath,"1,048 sqft",1950,Attached Garage,No,"$899,000",San Francisco
4241 25th St #1,3 Beds,3 Baths,"1,753 sqft",2002,Attached Garage,,"$1,995,000",San Francisco
706 A Castro St,2 Beds,1 Bath,"1,097 sqft",No Info,No Info,,"$1,195,000",San Francisco
565 Bowdoin St,5 Beds,2 Baths,"2,629 sqft",1938,Attached Garage,No,"$1,098,000",San Francisco
8200 Oceanview Ter #413,1 Bed,1 Bath,782 sqft,2002,Garage,,"$619,000",San Francisco
2400 Pacheco St,2 Beds,2 Baths,"1,200 sqft",1949,Garage,No,"$1,195,000",San Francisco
212 Charter Oak Ave,4 Beds,2 Baths,"1,505 sqft",1945,No Info,No,"$799,000",San Francisco
1839 15th St #252,1 Bed,1 Bath,833 sqft,1983,Attached Garage,Pool,"$849,000",San Francisco
1322 Natoma St #A,1 Bed,1 Bath,576 sqft,1907,Garage,,"$710,000",San Francisco
237 Greenwich St,1 Bed,1 Bath,,Year Built,,,"$585,000",San Francisco
300 Berry St #1107,1 Bed,1 Bath,732 sqft,2009,Attached Garage,,"$875,000",San Francisco
1080 Chestnut St #11D,3 Beds,4 Baths,"2,330 sqft",1962,Garage,,"$3,150,000",San Francisco
1801 Geneva Ave,2 Beds,1 Bath,799 sqft,1946,Attached Garage,No,"$745,000",San Francisco
217 Cumberland St,2 Beds,1 Bath,"1,247 sqft",1908,No Info,No,"$1,795,000",San Francisco
159 Lexington St,2 Beds,1 Bath,777 sqft,1908,Attached Garage,,"$849,000",San Francisco
1370 Quesada Ave,4 Beds,2 Baths,"1,211 sqft",1955,1 Car Garage,No,"$699,000",San Francisco
870 Harrison St #405,2 Beds,1 Bath,889 sqft,No Info,No Info,,"$369,563",San Francisco
599 24th Ave,3 Beds,3 Baths,"2,120 sqft",1914,Garage,No,"$1,850,000",San Francisco
2 Beaver St,3 Beds,2 Baths,"1,397 sqft",1906,Attached Garage,,"$1,595,000",San Francisco
1731 Powell St #401,2 Beds,2 Baths,"1,325 sqft",2018,1 Parking Spaces,Pool,"$2,550,000",San Francisco
622 Peralta Ave,2 Beds,1 Bath,844 sqft,1965,Attached Garage,,"$899,000",San Francisco
3747 Jackson St,6 Beds,8 Baths,"6,985 sqft",1912,Attached Garage,No,"$16,500,000",San Francisco
3177 California St,3 Beds,2 Baths,"1,073 sqft",No Info,Attached Garage,,"$1,195,000",San Francisco
357 29th Ave,3 Beds,4 Baths,"1,940 sqft",1912,Attached Garage,No,"$2,400,000",San Francisco
380 San Benito Way,4 Beds,2 Baths,"2,580 sqft",1926,Attached Garage,No,"$2,195,000",San Francisco
1729-1733 Stockton St #B,Studio,1 Bath,218 sqft,,,,"$395,000",San Francisco
3782 21st St,3 Beds,3 Baths,,1907,Attached Garage,No,"$2,995,000",San Francisco
4445 17th St,1 Bed,1 Bath,,1908,No Info,,"$1,095,000",San Francisco
250 Santa Paula Ave,4 Beds,5 Baths,"3,172 sqft",1926,Attached Garage,No,"$4,197,600",San Francisco
3055 25th St,2 Beds,1 Bath,980 sqft,1937,Garage,,"$990,000",San Francisco
79-81 Cervantes Blvd,4 Beds,,,1924,Attached Garage,,"$2,895,000",San Francisco
1318 Page St,4 Beds,5 Baths,"3,695 sqft",No Info,Attached Garage,No,"$4,195,000",San Francisco
