Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
3001 Porter St NW #100,1 Bed,1 Bath,650 sqft,1923,None,Pool,"$259,000",Washington
3010 Cambridge Pl NW,3 Beds,3 Baths,"3,070 sqft",1900,Garage,Pool,"$2,395,000",Washington
3001 Veazey Ter NW #908,2 Beds,2 Baths,"1,385 sqft",1967,206 Car Garage,Pool,"$515,000",Washington
3459 24th St SE,2 Beds,1 Bath,"1,100 sqft",1947,Open Parking,Pool,"$349,000",Washington
Home 602 Plan in Kennedy On L by McWilliams Ballard,2 Beds,2 Baths,"1,025 sqft",2021,Garage,,"$849,900+",Washington
1706 3rd St NE,4 Beds,4 Baths,"1,736 sqft",1912,1 Open Spaces,Pool,"$869,900",Washington
1001 Otis St NE,4 Beds,3 Baths,"1,596 sqft",1923,Open Parking,No,"$1,400,000",Washington
Home 405 Plan in The Archie by McWilliams Ballard,2 Beds,2 Baths,820 sqft,2021,No Info,No,"$589,900+",Washington
2409 Bryan Pl SE,5 Beds,4 Baths,"2,568 sqft",2008,1 Open Spaces,Pool,"$499,999",Washington
1 Scott Cir NW #217,1 Bed,1 Bath,494 sqft,1941,Open Parking,Pool,"$255,000",Washington
1121 I St NE,3 Beds,2 Baths,"1,712 sqft",1914,2 Parking Spaces,Pool,"$849,000",Washington
226 Kentucky Ave SE #C-2,3 Beds,2 Baths,"1,670 sqft",2021,Open Parking,Pool,"$818,000",Washington
2725 39th St NW #311,2 Beds,1 Bath,"1,118 sqft",1959,None,Pool,"$425,000",Washington
1239 Vermont Ave NW #208,2 Beds,2 Baths,766 sqft,1964,No Info,Pool,"$464,950",Washington
1436 Ogden St NW #6,1 Bed,1 Bath,625 sqft,1924,Open Parking,Pool,"$399,000",Washington
2615 4th St NE #B4,2 Beds,2 Baths,"1,000 sqft",1940,Open Parking,Pool,"$395,000",Washington
1502 Kearny St NE,6 Beds,4 Baths,"3,287 sqft",1923,No Info,No,"$1,099,000",Washington
3812 W St SE #201,2 Beds,1 Bath,629 sqft,1940,No Info,Pool,"$159,000",Washington
4801 Wisconsin Ave NW #501,1 Bed,1 Bath,"1,175 sqft",1982,1 Car Garage,Pool,"$349,900",Washington
1301 Delaware Ave SW #N614,2 Beds,2 Baths,850 sqft,1962,207 Parking Spaces,Pool,"$299,000",Washington
628 S Carolina Ave SE #5C,3 Beds,3 Baths,"2,033 sqft",2014,2 Car Garage,Pool,"$1,295,000",Washington
1236 Eton Ct NW #T19,2 Beds,2 Baths,"1,200 sqft",1980,Open Parking,Pool,"$799,950",Washington
2122 California St NW #260,1 Bed,1 Bath,700 sqft,1905,No Info,Pool,"$445,000",Washington
700 7th St SW #427,2 Beds,1 Bath,995 sqft,1967,Open Parking,Pool,"$495,000",Washington
88 P St NW,4 Beds,5 Baths,"2,988 sqft",1900,Open Parking,Pool,"$1,350,000",Washington
4614 Hayes St NE,3 Beds,3 Baths,"1,054 sqft",1927,1 Open Spaces,No,"$499,999",Washington
1529 Isherwood St NE,4 Beds,4 Baths,"1,968 sqft",1929,1 Parking Spaces,Pool,"$999,900",Washington
5906 8th St NE,3 Beds,3 Baths,"1,416 sqft",1953,Open Parking,No,"$585,000",Washington
3001 Porter St NW #203,1 Bed,1 Bath,650 sqft,1923,Open Parking,Pool,"$295,000",Washington
1948 3rd St NE #C,2 Beds,2 Baths,970 sqft,1942,Open Parking,Pool,"$558,995",Washington
2939 Van Ness St NW #646,1 Bed,1 Bath,575 sqft,1964,No Info,Pool,"$335,000",Washington
701 Pennsylvania Ave NW #1003,1 Bed,1 Bath,496 sqft,1991,99 Car Garage,Pool,"$420,000",Washington
804 Taylor St NW #303,2 Beds,2 Baths,887 sqft,1957,1 Parking Spaces,Pool,"$499,000",Washington
2902 Vista St NE,2 Beds,2 Baths,"1,654 sqft",1909,Open Parking,No,"$500,000",Washington
2639 15th St NW #B4,1 Bed,1 Bath,545 sqft,1954,Open Parking,Pool,"$299,000",Washington
3643 13th St NW #1,3 Beds,3 Baths,"1,515 sqft",1913,Open Parking,Pool,"$799,000",Washington
2310 Ashmead Pl NW #104,1 Bed,1 Bath,433 sqft,1921,Open Parking,Pool,"$287,500",Washington
730 24th St NW #516,1 Bed,1 Bath,560 sqft,1961,No Info,Pool,"$225,000",Washington
2425 L St NW #317,1 Bed,1 Bath,803 sqft,1918,1 Car Garage,Pool,"$599,000",Washington
718 Park Rd NW #8,2 Beds,1 Bath,708 sqft,1950,Open Parking,Pool,"$429,000",Washington
1909 Minnesota Ave SE,3 Beds,2 Baths,"1,700 sqft",1929,1 Open Spaces,Pool,"$499,999",Washington
3429 11th Pl SE,2 Beds,3 Baths,"1,983 sqft",2017,1 Car Garage,Pool,"$499,990",Washington
4007 Connecticut Ave NW #207,1 Bed,1 Bath,715 sqft,1930,Open Parking,Pool,"$375,000",Washington
448 N St NW,2 Beds,2 Baths,"1,306 sqft",1900,Garage,Pool,"$874,900",Washington
712 Kearny St NE #4,1 Bed,1 Bath,636 sqft,2021,Open Parking,Pool,"$400,000",Washington
50 Florida Ave NE #725,2 Beds,2 Baths,"1,055 sqft",2018,1 Car Garage,Pool,"$849,900",Washington
301 H St NE #203,Studio,1 Bath,402 sqft,2015,Open Parking,Pool,"$225,000",Washington
246 10th St SE,4 Beds,3 Baths,"1,809 sqft",1923,No Info,Pool,"$849,900",Washington
22 Randolph Pl NW,4 Beds,4 Baths,"1,871 sqft",1895,2 Open Spaces,Pool,"$895,000",Washington
1717 Independence Ave SE #A,3 Beds,3 Baths,"1,920 sqft",1924,1 Carport Spaces,Pool,"$860,000",Washington
3016 Tilden St NW #404,2 Beds,2 Baths,"1,195 sqft",1928,None,Pool,"$699,900",Washington
636 Columbia Rd NW,4 Beds,3 Baths,"2,070 sqft",1906,Open Parking,Pool,"$785,000",Washington
3406 N St NW,3 Beds,2 Baths,"2,814 sqft",1900,Garage,Pool,"$1,995,000",Washington
