Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
106 W 117th St #2A,2 Beds,2 Baths,"1,100 sqft",2003,No Info,,"$743,000",New York
317 Winthrop St #1,3 Beds,2 Baths,"1,176 sqft",1910,No Info,,"$895,000",New York
201 W 16th St #18E,1 Bed,1 Bath,,Year Built,,,"$595,000",New York
61 Post Ln,3 Beds,2 Baths,"1,545 sqft",2001,1 Car Garage,No,"$489,999",New York
152-25 14th Rd,3 Beds,2 Baths,"4,383 sqft",1901,No Info,No,"$1,149,900",New York
10745 157th St,3 Beds,3 Baths,"1,830 sqft",1925,Garage,No,"$689,000",New York
562 47th St,11 Beds,4 Baths,,1901,Open Parking,,"$1,590,000",New York
1925 Ocean Ave #2G,2 Beds,1 Bath,"1,000 sqft",No Info,No Info,,"$310,000",New York
33 Groton St,4 Beds,2 Baths,"1,728 sqft",1925,Carport,Yes,"$724,999",New York
219 Beach 44 St,5 Beds,2 Baths,,2004,No Info,No,"$299,000",New York
8618 110th St,5 Beds,3 Baths,"2,980 sqft",1909,Garage,No,"$949,000",New York
45 E 62nd St #5B,4 Beds,3 Baths,,1915,No Info,,"$1,500,000",New York
51 Livingston Ave,4 Beds,5 Baths,"3,050 sqft",2021,Garage,,"$1,249,900",New York
1048 73rd St,5 Beds,4 Baths,"2,013 sqft",1905,No Info,,"$1,649,000",New York
2036 5th Ave,5 Beds,6 Baths,"8,000 sqft",1910,No Info,,"$7,325,000",New York
8 E 62nd St,6 Beds,8 Baths,"14,825 sqft",1910,No Info,Pool,"$55,000,000",New York
72 Roff St,3 Beds,3 Baths,"1,599 sqft",2010,1 Car Garage,,"$579,000",New York
196 Stanhope St,5 Beds,3 Baths,"3,149 sqft",1930,No Info,,"$1,250,000",New York
34 Slater Blvd,3 Beds,2 Baths,"1,140 sqft",1975,No Info,No,"$599,900",New York
150-23 Hoover Ave,4 Beds,2 Baths,,1945,No Info,No,"$599,000",New York
