Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1441 Fletcher Ave,3 Beds,3 Baths,"2,491 sqft",1900,No Info,No,"$349,000",Indianapolis
6813 E 21st St,4 Beds,3 Baths,"3,295 sqft ",1937,Garage,No,"$225,000",Indianapolis
4434 N Audubon Rd #0,3 Beds,2 Baths,960 sqft ,1952,Garage,No,"$120,000",Indianapolis
1744 Randall Rd,3 Beds,1 Bath,925 sqft ,1953,Garage,No,"$130,000",Indianapolis
8087 Cardinal Cv E,4 Beds,3 Baths,"2,080 sqft",1989,Garage,No,"$254,899",Indianapolis
411 S Temple Ave,2 Beds,2 Baths,"1,298 sqft",1910,No Info,No,"$159,900",Indianapolis
1130 E Bradbury Ave,2 Beds,1 Bath,"1,980 sqft",1924,1 Parking Spaces,No,"$149,900",Indianapolis
6037 Copeland Mills Dr,3 Beds,2 Baths,"1,429 sqft",2002,Garage,No,"$230,000",Indianapolis
2367 N Oxford St,3 Beds,3 Baths,816 sqft,1900,No Info,No,"$127,000",Indianapolis
5849 Beechwood Ave,4 Beds,3 Baths,"3,340 sqft ",1895,Garage,No,"$364,900",Indianapolis
3350 Pinecrest Rd,3 Beds,2 Baths,"2,912 sqft ",1984,Garage,No,"$319,900",Indianapolis
1122 Newman St,3 Beds,3 Baths,"2,338 sqft",1921,Garage,No,"$430,000",Indianapolis
3541 Rockville Rd,2 Beds,1 Bath,"1,536 sqft",1925,Garage,No,"$124,900",Indianapolis
9568 Bay Vista East Dr,2 Beds,2 Baths,"2,056 sqft",1982,Garage,,"$210,000",Indianapolis
8011 E 34th St,4 Beds,2 Baths,"1,788 sqft",1979,No Info,No,"$137,500",Indianapolis
3174 E Oceanline East Dr,2 Beds,3 Baths,"1,286 sqft",1990,Garage,,"$164,500",Indianapolis
1403 Countryside Dr,3 Beds,1 Bath,936 sqft,1983,Garage,No,"$160,000",Indianapolis
3307 Babette Ct,3 Beds,2 Baths,"1,651 sqft",1983,Garage,No,"$195,900",Indianapolis
9437 Tanhurst Dr,3 Beds,4 Baths,"2,502 sqft",2005,Garage,,"$240,000",Indianapolis
3250 S Rybolt Ave,2 Beds,1 Bath,880 sqft ,1938,Garage,No,"$80,000",Indianapolis
5335 Broadway St,3 Beds,2 Baths,"2,085 sqft",1920,Garage,No,"$334,900",Indianapolis
4071 Lassen Ln,4 Beds,3 Baths,"2,199 sqft",2014,Garage,No,"$244,900",Indianapolis
2114 Carrollton Ave,4 Beds,4 Baths,"3,947 sqft ",1890,Garage,No,"$499,000",Indianapolis
815 Tecumseh St,2 Beds,2 Baths,"1,356 sqft",1922,No Info,No,"$184,900",Indianapolis
4929 E New York St,3 Beds,2 Baths,"1,625 sqft",1915,2 Parking Spaces,No,"$149,900",Indianapolis
12670 Shorevista Dr,5 Beds,6 Baths,"6,767 sqft ",1995,Garage,No,"$1,645,000",Indianapolis
3531 N Carrollton Ave,5 Beds,4 Baths,"2,194 sqft",1920,Garage,No,"$90,000",Indianapolis
2837 E 71st St,4 Beds,3 Baths,"2,610 sqft ",1956,Garage,No,"$229,900",Indianapolis
2127 Lexington Ave,3 Beds,3 Baths,"1,520 sqft",2021,No Info,No,"$180,000",Indianapolis
5355 Fletcher Ct,2 Beds,2 Baths,"3,719 sqft ",1990,Garage,,"$199,500",Indianapolis
325 N Lasalle St,4 Beds,2 Baths,,1917,Open Parking,,"$94,000",Indianapolis
3523 Balsam Ave,3 Beds,2 Baths,"1,956 sqft",1920,No Info,No,"$159,900",Indianapolis
2319 Colfax Ln #2319,2 Beds,3 Baths,"1,497 sqft",2004,Garage,,"$190,000",Indianapolis
5428 W Southport Rd,4 Beds,2 Baths,"2,384 sqft ",1955,Garage,No,"$275,000",Indianapolis
